sample,type,density
234,Inside,2.753
234,Inside,1.779
234,Inside,1.64
234,Inside,0.982
234,Inside,5.329
234,Inside,2.245
234,Inside,2.692
234,Inside,1.151
234,Inside,9.743
234,Inside,1.315
248,Inside,0.325
248,Inside,0.36
248,Inside,1.137
248,Inside,0.656
248,Inside,19.908
248,Inside,2.651
248,Inside,16.309
248,Inside,0.381
248,Inside,1.005
248,Inside,1.949
248,Inside,5.328
248,Inside,0.742
248,Inside,2.19
248,Inside,3.317
248,Inside,2.81
248,Inside,0.886
248,Inside,3.168
248,Inside,3.19
248,Inside,0.805
248,Inside,4.984
248,Inside,1.558
248,Inside,1.97
248,Inside,2.003
248,Inside,2.273
248,Inside,4.712
248,Inside,1.03
248,Inside,2.58
248,Inside,8.968
248,Inside,4.9
248,Inside,1.342
248,Inside,2.458
248,Inside,2.117
248,Inside,4.296
248,Inside,0.705
248,Inside,0.391
248,Inside,2.115
248,Inside,3.109
248,Inside,2.229
248,Inside,2.689
248,Inside,1.187
248,Inside,2.751
248,Inside,0.887
248,Inside,1.822
248,Inside,3.2
248,Inside,3.033
248,Inside,1.522
248,Inside,5.969
248,Inside,1.067
248,Inside,3.445
248,Inside,0.461
248,Inside,1.264
248,Inside,1.826
248,Inside,3.925
248,Inside,3.644
248,Inside,5.666
248,Inside,0.335
248,Inside,0.335
248,Inside,1.188
248,Inside,1.808
248,Inside,1.624
248,Inside,2.838
248,Inside,1.067
248,Inside,5.308
248,Inside,2.01
248,Inside,6.749
248,Inside,2.138
248,Inside,3.76
248,Inside,3.304
248,Inside,1.943
248,Inside,7.944
248,Inside,1.657
248,Inside,1.767
248,Inside,0.32
248,Inside,2.98
248,Inside,4.711
248,Inside,2.116
248,Inside,0.403
248,Inside,4.636
248,Inside,2.473
248,Inside,2.554
248,Inside,3.391
248,Inside,2.287
248,Inside,3.604
248,Inside,1.694
248,Inside,1.29
248,Inside,1.624
248,Inside,5.478
248,Inside,3.39
248,Inside,2.743
248,Inside,3.703
248,Inside,3.875
248,Inside,1.194
248,Inside,2.674
248,Inside,3.36
248,Inside,5.224
248,Inside,3.331
248,Inside,2.772
248,Inside,5.008
248,Inside,2.989
248,Inside,1.311
248,Inside,4.379
248,Inside,0.32
248,Inside,3.846
248,Inside,3.406
248,Inside,4.776
248,Inside,3.176
248,Inside,2.031
248,Inside,3.792
248,Inside,1.394
248,Inside,6.077
248,Inside,0.941
248,Inside,3.536
248,Inside,1.756
248,Inside,0.656
248,Inside,5.976
248,Inside,2.054
248,Inside,3.109
248,Inside,1.754
248,Inside,1.701
248,Inside,2.901
248,Inside,1.455
248,Inside,1.089
248,Inside,1.984
248,Inside,1.898
248,Inside,3.108
248,Inside,4.204
248,Inside,1.424
248,Inside,3.227
248,Inside,1.841
248,Inside,6.549
248,Inside,2.431
248,Inside,1.063
248,Inside,2.694
248,Inside,1.775
248,Inside,5.847
248,Inside,6.575
248,Inside,1.838
248,Inside,5.374
248,Inside,1.77
248,Inside,3.598
248,Inside,2.014
248,Inside,3.734
248,Inside,1.123
248,Inside,2.6
248,Inside,3.408
248,Inside,1.063
248,Inside,3.945
248,Inside,3.849
248,Inside,3.009
248,Inside,0.875
248,Inside,4.151
248,Inside,2.2
248,Inside,2.554
248,Inside,0.922
248,Inside,3.176
248,Inside,2.51
248,Inside,3.213
248,Inside,2.058
248,Inside,3.549
248,Inside,0.465
248,Inside,2.47
248,Inside,2.567
248,Inside,4.597
248,Inside,1.624
248,Inside,6.475
248,Inside,2.698
248,Inside,4.866
